anio,temperatura_media_aprox_c,precipitacion_total_mm_aprox,nota
2010,27.5,5.2,Un agosto caluroso y seco.
2011,28.2,2.1,"Agosto típico, muy cálido y con pocas lluvias."
2012,29.0,0.0,Extremadamente seco y caluroso.
2013,27.0,8.5,Calor moderado con alguna tormenta aislada.
2014,26.5,12.3,Un agosto ligeramente más fresco y húmedo de lo habitual.
2015,30.1,1.0,Ola de calor intensa y muy poca lluvia.
2016,28.5,3.7,"Caluroso y seco, como es costumbre."
2017,29.5,0.5,Otro agosto abrasador y sin precipitaciones significativas.
2018,27.8,6.8,Temperaturas altas con alguna precipitación esporádica.
2019,28.8,2.4,Agosto muy cálido y con lluvias casi inexistentes.
2020,29.2,4.1,Calor intenso con alguna tarde de tormenta.
2021,27.3,10.9,Un agosto con temperaturas elevadas y algunas lluvias.
2022,30.5,0.0,"Agosto de récord, muy caluroso y sin una gota."
